0007036-04.2005.4.03.6304
5000449-74.2015.8.08.0024
0002246-57.2018.4.03.6324
7006278-93.2020.8.22.0005
2127906-46.2017.8.26.0000
0010490-09.2021.5.15.0065
0000918-17.2016.5.07.0036
5126800-20.2016.8.13.0024
0069673-22.2020.8.16.0014
0001762-31.2014.5.06.0014
0008430-96.2019.8.26.0026
0525185-91.2018.4.05.8013
0009181-07.2018.8.16.0185
5169950-58.2020.4.04.9445
0822507-65.2021.8.19.0038
1009713-79.2021.8.26.0637
1001715-57.2019.5.02.0020
0002995-22.2020.8.26.0604
0000996-91.2017.5.12.0050
0800032-26.2016.8.02.0051
0100097-04.2017.5.01.0246
1501081-71.2021.8.26.0066
0007310-80.2016.8.16.0194
0000532-72.2015.8.16.0051
0013729-05.2020.8.21.9000
0044754-19.2020.4.03.6301
0805185-14.2022.8.14.0401
0000573-28.2021.8.25.0035
1006108-98.2021.8.26.0161
0212738-41.2015.8.09.0145
0515744-58.2011.8.26.0562
0653442-45.1999.8.26.0007
0013293-91.2019.8.16.0182
0014263-96.2021.8.26.0100
1572827-10.2021.8.26.0224
0004227-55.2007.8.26.0659
1003377-50.2020.8.26.0037
1060360-70.2020.4.01.3700
5001716-91.2020.8.13.0016
0010502-28.2021.5.18.0101
0010215-95.2021.5.03.0129
0302774-60.2019.8.24.0020
0000179-51.2015.8.11.0025
0005353-85.2021.4.03.6201
0092941-24.2004.5.01.0018
0013202-91.2021.8.16.0000
0101114-14.2020.5.01.0491
2268679-39.2020.8.26.0000
0302349-70.2018.8.24.0019
1004593-35.2014.8.26.0529
2136996-49.2015.8.26.0000
0003640-88.2012.8.21.0144
0055391-94.2009.8.21.0023
1504603-07.2021.8.26.0002
0805096-75.2021.8.15.0731
0702278-78.2021.8.01.0070
1001587-83.2022.8.26.0482
1000933-17.2021.5.02.0073
0004449-92.2006.8.26.0615
0243695-78.2013.8.04.0001
0000946-71.1978.8.25.0001
0007420-20.2008.4.03.6317
0218295-58.2015.8.13.0707
0002672-75.2020.8.26.0520
5000059-81.2022.8.13.0166
0020793-32.2009.8.26.0361
1010687-61.2020.8.26.0602
1000450-88.2018.5.02.0041
1008778-97.2020.8.26.0047
0017598-30.2012.4.01.9199
